NomeMun,UF,CodMun,match_var,title,uf,uf_code,uf_code_multi,rua_camara,numero_camara,cep,email,url_interlegis,url_legislativo
São Gonçalo dos Campos,BA,2929305,São Gonçalo dos Campos_BA,Câmara Municipal de São Gonçalo dos Campos,BA,29,29000000,Av. Hanibal Pedreira,27,44330-000,camarasaogoncalo@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=607,
São José da Vitória,BA,2929354,São José da Vitória_BA,Câmara Municipal de São José da Vitória,BA,29,29000000,Praça José Francisco Pinto,144,45629-070,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=625,
São Miguel das Matas,BA,2929404,São Miguel das Matas_BA,Câmara Municipal de São Miguel das Matas,BA,29,29000000,Prç. Orlando Spinola,175,44580-000,zeliadmc@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=687,
São Sebastião do Passé,BA,2929503,São Sebastião do Passé_BA,Câmara Municipal de São Sebastião do Passé,BA,29,29000000,Praça General Raimundo Barbosa,36,43850-000,albertocvalente@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=564,
Sapeaçu,BA,2929602,Sapeaçu_BA,Câmara Municipal de Sapeaçu,BA,29,29000000,Praça da Senec,46,44530-000,camara1@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=739,
Sátiro Dias,BA,2929701,Sátiro Dias_BA,Câmara Municipal de Sátiro Dias,BA,29,29000000,Rua Manoel Vieira do Nascimento,29,48485-000,adriana.adm@camarasatirodias.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=313,http://camarasatirodias.com.br
Saubara,BA,2929750,Saubara_BA,Câmara Municipal de Saubara,BA,29,29000000,Rua do Sossego,,44220-000,valnando.edy@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=740,
Saúde,BA,2929800,Saúde_BA,Câmara Municipal de Saúde,BA,29,29000000,Travessa Duque de Caxias,73,44740-000,camaradesaude@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=660,
Seabra,BA,2929909,Seabra_BA,Câmara Municipal de Seabra,BA,29,29000000,Rua Lindolfo Moreira,571,46900-000,camaraseabra@bol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=756,http://www.seabra.ba.leg.br
Sebastião Laranjeiras,BA,2930006,Sebastião Laranjeiras_BA,Câmara Municipal de Sebastião Laranjeiras,BA,29,29000000,Rua Dois de Maio,341,46450-000,camaramsb@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=201,
Senhor do Bonfim,BA,2930105,Senhor do Bonfim_BA,Câmara Municipal de Senhor do Bonfim,BA,29,29000000,Rua Horacio Murici,88,48970-000,camarasb@camarasb.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=350,http://www.camarasb.ba.gov.br
Serra do Ramalho,BA,2930154,Serra do Ramalho_BA,Câmara Municipal de Serra do Ramalho,BA,29,29000000,Av. Norte,,47630-000,camaramunicipal.serradoramalho@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=516,http://www.serradoramalho.ba.leg.br
Sento Sé,BA,2930204,Sento Sé_BA,Câmara Municipal de Sento Sé,BA,29,29000000,Praça Dr. Juvêncio Alves,,47350-000,camarass2017@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=536,
Serra Dourada,BA,2930303,Serra Dourada_BA,Câmara Municipal de Serra Dourada,BA,29,29000000,Rua Getúlio Vargas,204,47740-000,doc.cmsd@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=720,
Serra Preta,BA,2930402,Serra Preta_BA,Câmara Municipal de Serra Preta,BA,29,29000000,Rua Dr. Liberalino Sales Gadelha,69,44660-000,camaramunicipalserrapreta@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=608,
Serra Preta,BA,2930402,Serra Preta_BA,Câmara Municipal de Serra Preta,BA,29,29000000,Rua Dr. Liberalino Sales Gadelha,69,44660-000,camaramunicipalserrapreta@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=608%0A,
Serrinha,BA,2930501,Serrinha_BA,Câmara Municipal de Serrinha,BA,29,29000000,Av. Deputado Manoel Novais n 759,n759,48700-000,camaramunicipalserrinha@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=366,
Serrolândia,BA,2930600,Serrolândia_BA,Câmara Municipal de Serrolândia,BA,29,29000000,Av. Manoel Roque Rodrigues,755,44710-000,camara@camaradeserrolandia.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=661,http://www.serrolandia.ba.leg.br
Simões Filho,BA,2930709,Simões Filho_BA,Câmara Municipal de Simões Filho,BA,29,29000000,Praça da Bíblia,,43700-000,redacao.debate@camarasimoesfilho.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=710,http://www.camarasimoesfilho.ba.gov.br
Sítio do Mato,BA,2930758,Sítio do Mato_BA,Câmara Municipal de Sítio do Mato,BA,29,29000000,Rodovia BA 161 km 476,03,47610-000,cmsitiodomato@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=517,
Sítio do Quinto,BA,2930766,Sítio do Quinto_BA,Câmara Municipal de Sítio do Quinto,BA,29,29000000,Av. Antônio Marques,530,48565-000,van.renan@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=530,https://io.org.br
Sobradinho,BA,2930774,Sobradinho_BA,Câmara Municipal de Sobradinho,BA,29,29000000,Avenida José Balbino de Souza,,48925-000,camaradesobradinho@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=537,http://www.sobradinho.ba.leg.br
Souto Soares,BA,2930808,Souto Soares_BA,Câmara Municipal de Souto Soares,BA,29,29000000,Rua Nova Jerusalém,12,46990-000,camarasoutosoares@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=631,
Tabocas do Brejo Velho,BA,2930907,Tabocas do Brejo Velho_BA,Câmara Municipal de Tabocas do Brejo Velho,BA,29,29000000,Praça da República,100,47760-000,camaramunicipaltabocas@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=572,
Tanhaçu,BA,2931004,Tanhaçu_BA,Câmara Municipal de Tanhaçu,BA,29,29000000,Pc. Luís Eduardo Magalhães,,46600-000,cmtanhacu@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=557,http://www.cvereadoresdebrumado.com.br
Tanque Novo,BA,2931053,Tanque Novo_BA,Câmara Municipal de Tanque Novo,BA,29,29000000,Rua Vereador Joaquim Cardoso Sobrinho,,46580-000,cvtanquenovo@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=208,
Tanquinho,BA,2931103,Tanquinho_BA,Câmara Municipal de Tanquinho,BA,29,29000000,Rua Américo Trabuco,,44160-000,cmtanquinho@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=609,
Taperoá,BA,2931202,Taperoá_BA,Câmara Municipal de Taperoá,BA,29,29000000,Rua Marechal Deodoro da Fonseca,,45430-000,cmtaperoa@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=377,http://www.cmtaperoa.ba.gov.br
Teixeira de Freitas,BA,2931350,Teixeira de Freitas_BA,Câmara Municipal de Teixeira de Freitas,BA,29,29000000,Rua Massonori Nagão,64,45995-021,camara@camaratf.ba.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=503,http://www.camaratf.ba.gov.br
Teodoro Sampaio,BA,2931400,Teodoro Sampaio_BA,Câmara Municipal de Teodoro Sampaio,BA,29,29000000,Av. Castelo Branco,19,44280-000,camarats2011@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=184,
Teofilândia,BA,2931509,Teofilândia_BA,Câmara Municipal de Teofilândia,BA,29,29000000,Rua Fernando Lopes,31,48770-000,cvereadoresteofilandia@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=367,
Teolândia,BA,2931608,Teolândia_BA,Câmara Municipal de Teolândia,BA,29,29000000,Rua Bernardinho Souza,,45465-000,,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=626,
Terra Nova,BA,2931707,Terra Nova_BA,Câmara Municipal de Terra Nova,BA,29,29000000,Praça São Roque,,44270-000,camaraterranova@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=565,
Tremedal,BA,2931806,Tremedal_BA,Câmara Municipal de Tremedal,BA,29,29000000,Praça da Matrix,109,45170-000,camara.tre@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=558,
Tucano,BA,2931905,Tucano_BA,Câmara Municipal de Tucano,BA,29,29000000,Avenida Francisco Araújo Souza ,435,48790-000,cmdetucano@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=585,http://cmtucano.ba.gov.br
Uauá,BA,2932002,Uauá_BA,Câmara Municipal de Uauá,BA,29,29000000,Pç. São João Batista,9,48950-000,cmuaua@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=586,http://www.cmuaua.ba.ipmbrasil.org.br
Ubaíra,BA,2932101,Ubaíra_BA,Câmara Municipal de Ubaíra,BA,29,29000000,Pç. dos Três Poderes,,45310-000,valmir.s@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=688,http://www.camara.ubaira.ba.io.org.br
Ubaitaba,BA,2932200,Ubaitaba_BA,Câmara Municipal de Ubaitaba,BA,29,29000000,Av. Vasco Neto,,45545-000,camaramunicipaldeubaitaba2015@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=627,http://www.camara.ubaitaba.ba.io.org.br
Ubatã,BA,2932309,Ubatã_BA,Câmara Municipal de Ubatã,BA,29,29000000,Rua Ramiro Berbet de Castro,,45550-000,cmulegislar@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=628,
Uibaí,BA,2932408,Uibaí_BA,Câmara Municipal de Uibaí,BA,29,29000000,Rua Oriente,252,44950-000,legis_uibai@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=632,
Umburanas,BA,2932457,Umburanas_BA,Câmara Municipal de Umburanas,BA,29,29000000,Avenida Severino Ribeiro Granjas,,44798-000,camaradeumburanas@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=351,
Una,BA,2932507,Una_BA,Câmara Municipal de Una,BA,29,29000000,Rua J. J. Seabra,55,45690-000,yanna_carvalho02@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=449,
Urandi,BA,2932606,Urandi_BA,Câmara Municipal de Urandi,BA,29,29000000,Rua 15 de Novembro,57,46350-000,camaramunicipalurandi@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=202,
Uruçuca,BA,2932705,Uruçuca_BA,Câmara Municipal de Uruçuca,BA,29,29000000,Praça Régis Pacheco,,45680-000,camara_ur@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=450%0A,http://www.camara.urucuca.ba.io.org.br
Uruçuca,BA,2932705,Uruçuca_BA,Câmara Municipal de Uruçuca,BA,29,29000000,Praça Régis Pacheco,,45680-000,camara_ur@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=450,http://www.camara.urucuca.ba.io.org.br
Utinga,BA,2932804,Utinga_BA,Câmara Municipal de Utinga,BA,29,29000000,Av. Presidente Vargas,2,46810-000,camarautinga@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=757,
Valença,BA,2932903,Valença_BA,Câmara Municipal de Valença,BA,29,29000000,Praça Ademar Guimarães,,45400-000,camara_valenca@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=378,
Valente,BA,2933000,Valente_BA,Câmara Municipal de Valente,BA,29,29000000,Rua José Mota Lopes,54,48890-000,ascom@valente.ba.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=368,http://www.valente.ba.leg.br
Várzea da Roça,BA,2933059,Várzea da Roça_BA,Câmara Municipal de Várzea da Roça,BA,29,29000000,Prç. da Bandeira,,44635-000,sheilacallazans@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=639,
Várzea do Poço,BA,2933109,Várzea do Poço_BA,Câmara Municipal de Várzea do Poço,BA,29,29000000,Rua Nabor Lima Rios,08,44715-000,osmaria34@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=662,
Várzea Nova,BA,2933158,Várzea Nova_BA,Câmara Municipal de Várzea Nova,BA,29,29000000,Praça José  Araújo Silva,,44690-000,noelson2017@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=663,http://www.cvn.ba.gov.ba
Varzedo,BA,2933174,Varzedo_BA,Câmara Municipal de Varzedo,BA,29,29000000,Rua Coronel José Augusto,27,44955-000,camaradevarzedo@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=741,http://camara.varzedo.ba.io.org.br
Vera Cruz,BA,2933208,Vera Cruz_BA,Câmara Municipal de Vera Cruz,BA,29,29000000,Praça São Bento,102,44470-000,camaramunicipaldeveracruz@bol.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=711,http://www.camara.veracruz.ba.op.org.br
Vereda,BA,2933257,Vereda_BA,Câmara Municipal de Vereda,BA,29,29000000,Av. Eujacio Simoes,,45955-000,cm.vereda@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=504,
Vitória da Conquista,BA,2933307,Vitória da Conquista_BA,Câmara Municipal de Vitória da Conquista,BA,29,29000000,Rua Coronel Guge,150,45000-510,admcamara@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=395,http://www.camaravc.com.br
Wagner,BA,2933406,Wagner_BA,Câmara Municipal de Wagner,BA,29,29000000,Rua Antônio Jardim,139,46970-000,cmw@ligbr.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=342,
Wanderley,BA,2933455,Wanderley_BA,Câmara Municipal de Wanderley,BA,29,29000000,Av. Claudino Barreto Rios,,47940-000,camaramunicipaldewanderley@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=573,
Wenceslau Guimarães,BA,2933505,Wenceslau Guimarães_BA,Câmara Municipal de Wenceslau Guimarães,BA,29,29000000,Rua Otáviano Santos Lisboa,10,45460-000,camarawg@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=451,
Abadia dos Dourados,MG,3100104,Abadia dos Dourados_MG,Câmara Municipal de Abadia dos Dourados,MG,31,31000000,Pça Manoel Esteves dos Santos,110,38540-000,camaramunicipal.abadia@outlook.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1969,
Abaeté,MG,3100203,Abaeté_MG,Câmara Municipal de Abaeté,MG,31,31000000,Av. Juscelino Kubitschek,99,35620-000,camara@camaraabaete.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2139,http://www.camaraabaete.mg.gov.br
Abre Campo,MG,3100302,Abre Campo_MG,Câmara Municipal de Abre Campo,MG,31,31000000,Av. Francisco Nacif,220,35365-000,camaraabrecampo@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1830,http://www.camaraabrecampo.mg.gov.br
Acaiaca,MG,3100401,Acaiaca_MG,Câmara Municipal de Acaiaca,MG,31,31000000,Pça Tancredo Neves,36,35438-000,acaialegis@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2024,
Açucena,MG,3100500,Açucena_MG,Câmara Municipal de Açucena,MG,31,31000000,Praça Edson de Miranda,84,35150-000,camaraacucena@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1752,
Aguanil,MG,3100807,Aguanil_MG,Câmara Municipal de Aguanil,MG,31,31000000,Praça Evaristo Pimenta,13,37273-000,cmaguanil@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1533,http://www.camaraaguanil.mg.gov.br
Aimorés,MG,3101102,Aimorés_MG,Câmara Municipal de Aimorés,MG,31,31000000,Rua Olegário Maciel,230,35200-000,camara@camaradeaimores.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1370,
Aiuruoca,MG,3101201,Aiuruoca_MG,Câmara Municipal de Aiuruoca,MG,31,31000000,Rua Dr. Antônio Guimarães,62,37450-000,secretaria@camaraaiuruoca.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1261,http://www.camaraaiuruoca.mg.gov.br
Alagoa,MG,3101300,Alagoa_MG,Câmara Municipal de Alagoa,MG,31,31000000,Rua Capitão Manoel Borges Pinto,176,37458-000,alagoa@camaraalagoa.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2075,
Albertina,MG,3101409,Albertina_MG,Câmara Municipal de Albertina,MG,31,31000000,Rua João Sanches,325,37596-000,camara@albertina.cam.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2012,http://www.camaraalbertina.com.br
Além Paraíba,MG,3101508,Além Paraíba_MG,Câmara Municipal de Além Paraíba,MG,31,31000000,Pça. Ce. Breves,30,36660-000,presidencia@alemparaiba.cam.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1569,http://www.camaraap.com.br
Alfenas,MG,3101607,Alfenas_MG,Câmara Municipal de Alfenas,MG,31,31000000,Praça Dr. Fausto Monteiro,85,37130-031,cmalfenas@cmalfenas.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1381,http://www.cmalfenasl.mg.gov.br
Alfredo Vasconcelos,MG,3101631,Alfredo Vasconcelos_MG,Câmara Municipal de Alfredo Vasconcelos,MG,31,31000000,Avenida Estrada Real,49,36272-000,selmawwm@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1251,
Almenara,MG,3101706,Almenara_MG,Câmara Municipal de Almenara,MG,31,31000000,Pça Dr Hélio Rocha Guimarães,28,39900-000,cm.almenara@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1463,http://www.camaraalmenara.com.br
Almenara,MG,3101706,Almenara_MG,Câmara Municipal de Almenara,MG,31,31000000,Pça Dr Hélio Rocha Guimarães,28,39900-000,cm.almenara@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1463%0A,http://www.camaraalmenara.com.br
Alpercata,MG,3101805,Alpercata_MG,Câmara Municipal de Alpercata,MG,31,31000000,Rua Cristiano Flores,90,35138-000,camaraalpercata@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1697,
Alpinópolis,MG,3101904,Alpinópolis_MG,Câmara Municipal de Alpinópolis,MG,31,31000000,Rua Professor Telles,335,37940-000,camara_alpinopolis@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1947,http://www.camaracapinopolis.mg.gov.br
Alterosa,MG,3102001,Alterosa_MG,Câmara Municipal de Alterosa,MG,31,31000000,Rua São Joaquim,15,37145-000,contabilidadecmalterosa@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1453,http://www.cmalterosa.mg.gov.br
Alto Caparaó,MG,3102050,Alto Caparaó_MG,Câmara Municipal de Alto Caparaó,MG,31,31000000,Av. Pico da Bandeira,922,36979-000,ccaparao@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1831,
Alto Rio Doce,MG,3102100,Alto Rio Doce_MG,Câmara Municipal de Alto Rio Doce,MG,31,31000000,Avenida Carlos Couto,32,36260-000,camaraaltodoriodoce@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2253,http://camaraaltoriodoce.mg.gov.br
Alvarenga,MG,3102209,Alvarenga_MG,Câmara Municipal de Alvarenga,MG,31,31000000,Rua Bocayuva,14,35249-000,presidente@alvarengacamara.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1371,
Alvinópolis,MG,3102308,Alvinópolis_MG,Câmara Municipal de Alvinópolis,MG,31,31000000,Rua 5 de Fevereiro,14,35950-000,camaraalvinopolis@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1764,
Alvorada de Minas,MG,3102407,Alvorada de Minas_MG,Câmara Municipal de Alvorada de Minas,MG,31,31000000,Av. José Madureira Orta,190,39140-000,camaraalvorada@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=92,
Amparo do Serra,MG,3102506,Amparo do Serra_MG,Câmara Municipal de Amparo do Serra,MG,31,31000000,Rua Maria Leonarda,158,35444-000,cmaserra@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2254,http://www.camaraamparodoserra.mg.gov.br
Andradas,MG,3102605,Andradas_MG,Câmara Municipal de Andradas,MG,31,31000000,Rua Leonardo Alves dos Santos,315,37795-000,cmandradas@pocos-net.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2013,
Cachoeira de Pajeú,MG,3102704,Cachoeira de Pajeú_MG,Câmara Municipal de Cachoeira de Pajeú,MG,31,31000000,Rua Manoel Leonídio,76,39980-000,cmpajeu@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1988,
Andrelândia,MG,3102803,Andrelândia_MG,Câmara Municipal de Andrelândia,MG,31,31000000,Rua Antônio Andrade Alves,115,37300-000,contato@camaradeandrelandia.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1262,
Antônio Carlos,MG,3102902,Antônio Carlos_MG,Câmara Municipal de Antônio Carlos,MG,31,31000000,Rua Coronel José Gonçalves de Araújo,201,36220-000,cmac@cmac.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1252,http://www.cmac.mg.gov.br
Antônio Dias,MG,3103009,Antônio Dias_MG,Câmara Municipal de Antônio Dias,MG,31,31000000,Pça Ana Angélica,148,35177-000,municipalcamaradias@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1753,
Antônio Prado de Minas,MG,3103108,Antônio Prado de Minas_MG,Câmara Municipal de Antônio Prado de Minas,MG,31,31000000,Rua Nossa Senhora Aparecida,114,36850-000,gabinete@antoniopradodeminas.cam.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1864,
Araçaí,MG,3103207,Araçaí_MG,Câmara Municipal de Araçaí,MG,31,31000000,Rua Dr. Avelar ,95,35777-000,cmaracai@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2105,
Aracitaba,MG,3103306,Aracitaba_MG,Câmara Municipal de Aracitaba,MG,31,31000000,Travessa Santa Cecília,21,36255-000,camaraaracitabamg@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1684,
Araçuaí,MG,3103405,Araçuaí_MG,Câmara Municipal de Araçuaí,MG,31,31000000,Rua São Geraldo,722,39600-000,contato@aracuai.mg.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1477,http://aracuai.mg.leg.br
Araguari,MG,3103504,Araguari_MG,Câmara Municipal de Araguari,MG,31,31000000,R. Coronel José Ferreira Alves,758,38444-090,administrativo@araguari.mg.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=93,http://www.araguari.mg.leg.br
Arantina,MG,3103603,Arantina_MG,Câmara Municipal de Arantina,MG,31,31000000,Rua Ulisses Fernandes,21,37360-000,camaraarantina@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=94,
Araponga,MG,3103702,Araponga_MG,Câmara Municipal de Araponga,MG,31,31000000,Rua São Geraldo,12,36594-000,camaraaraponga@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2255,
Araporã,MG,3103751,Araporã_MG,Câmara Municipal de Araporã,MG,31,31000000,Rua Antônio Galé,48,38465-000,assessoriacamaraarapora@gmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2166,http://www.camaraarapora.mg.gov.br
Arapuá,MG,3103801,Arapuá_MG,Câmara Municipal de Arapuá,MG,31,31000000,Praça São João Batista,100,38860-000,camara.arapua@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1960,
Araújos,MG,3103900,Araújos_MG,Câmara Municipal de Araújos,MG,31,31000000,Av. Belo Horizonte,397,35603-000,contatolegislativo@yahoo.com.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1522,
Araxá,MG,3104007,Araxá_MG,Câmara Municipal de Araxá,MG,31,31000000,Av. João Paulo II,1200,38184-122,camara@araxa.mg.leg.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1485,http://www.camaraaraxa.mg.gov.br
Arceburgo,MG,3104106,Arceburgo_MG,Câmara Municipal de Arceburgo,MG,31,31000000,Rua José Bonifácio,691,37820-000,camara_arceburgo@hotmail.com,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=2091,http://www.camaraarceburgo.com.br
Arcos,MG,3104205,Arcos_MG,Câmara Municipal de Arcos,MG,31,31000000,Rua 25 de dezembro,760,35588-000,secretaria@camaraarcos.mg.gov.br,http://www.interlegis.leg.br/institucional/casas-conveniadas/casas_legislativas/casa_view?id=1631,http://www.camaraarcos.mg.gov.br
